Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1221,OUT049
FDW14,1852,OUT017
NCN55,857,OUT010
FDQ58,2574,OUT017
FDY38,5946,OUT027
FDH56,1638,OUT046
FDL48,669,OUT018
FDC48,2447,OUT027
FDN33,1327,OUT045
FDA36,2633,OUT017
FDT44,1643,OUT017
FDQ56,1546,OUT045
NCC54,794,OUT019
FDU11,1943,OUT049
DRL59,858,OUT013
FDM24,2514,OUT049
FDI57,3829,OUT045
DRC12,2439,OUT018
NCM42,2821,OUT027
FDA46,543,OUT010
FDA31,2756,OUT013
NCJ31,4055,OUT035
FDG52,734,OUT046
NCL19,328,OUT019
FDS10,2699,OUT035
FDX22,580,OUT010
NCF19,968,OUT035
NCE06,2299,OUT046
DRC27,3840,OUT046
FDE21,1815,OUT035
NCR42,-77,OUT019
FDX51,2549,OUT018
NCR06,608,OUT018
FDU31,6495,OUT027
FDU59,2468,OUT017
FDR03,6068,OUT027
FDS49,2732,OUT027
FDD48,312,OUT010
NCF18,2668,OUT017
NCD43,2821,OUT027
NCD54,2031,OUT018
FDY19,388,OUT010
NCY54,2721,OUT017
NCL19,2495,OUT018
FDP23,475,OUT010
FDC26,1393,OUT013
FDR14,-211,OUT010
NCS41,2740,OUT035
FDF41,4136,OUT035
FDU34,1477,OUT046
DRH11,894,OUT046
FDM03,1737,OUT013
FDS31,2961,OUT017
FDJ20,1730,OUT017
FDV44,4736,OUT027
FDG02,2516,OUT049
FDA09,2921,OUT013
FDT04,655,OUT013
FDL58,653,OUT019
FDE52,1675,OUT045
FDW12,2798,OUT035
FDL51,3548,OUT017
NCY42,4524,OUT027
FDR07,1005,OUT017
FDN40,2412,OUT045
FDB35,2614,OUT027
FDA22,3622,OUT017
NCL06,3819,OUT046
FDI35,3095,OUT013
NCW42,3593,OUT045
NCX06,3021,OUT049
FDC37,2447,OUT027
FDZ14,1519,OUT018
DRG49,4366,OUT049
NCG06,3711,OUT045
DRC36,2767,OUT045
FDV21,393,OUT019
FDB53,2751,OUT046
DRP47,507,OUT019
FDA14,2769,OUT013
DRC24,2724,OUT035
FDW21,1559,OUT018
NCH29,2175,OUT046
FDU58,2912,OUT013
FDY27,2470,OUT017
FDV56,1771,OUT035
FDT59,3840,OUT046
FDB23,3617,OUT046
FDR49,639,OUT045
FDB03,647,OUT010
FDN39,2620,OUT045
FDX02,5924,OUT027
FDQ16,2672,OUT027
FDU35,1621,OUT018
NCT29,1726,OUT013
FDZ27,567,OUT046
FDN57,2530,OUT017
FDA03,2398,OUT018
FDZ36,2710,OUT045
NCU05,1566,OUT013
FDT39,2256,OUT018
FDK60,1623,OUT017
FDZ25,2924,OUT017
FDG12,1807,OUT046
DRB01,368,OUT019
NCC43,5777,OUT027
FDX13,599,OUT019
FDM22,926,OUT049
FDJ03,1499,OUT027
FDU14,3350,OUT018
FDB33,414,OUT010
FDP27,2880,OUT046
FDO38,13,OUT010
FDE28,6009,OUT027
FDO27,1784,OUT035
DRL23,2837,OUT027
FDS28,354,OUT046
FDX24,1511,OUT013
FDZ02,1648,OUT035
FDL46,1441,OUT045
FDS60,4328,OUT027
NCO06,833,OUT017
FDO16,2306,OUT035
FDC60,2043,OUT049
FDA48,3296,OUT018
FDZ36,4509,OUT027
FDK27,1527,OUT045
FDW23,470,OUT018
FDM14,1352,OUT018
FDM14,1682,OUT013
FDW60,2518,OUT018
FDE21,1741,OUT013
NCM42,1960,OUT035
FDY59,-61,OUT010
DRI49,1654,OUT049
FDT28,357,OUT019
FDQ22,654,OUT018
FDR60,1438,OUT049
FDC50,261,OUT019
FDV24,2292,OUT013
DRF48,58,OUT010
FDQ47,866,OUT046
DRN36,1640,OUT049
NCY06,2014,OUT035
FDE52,1843,OUT035
NCB54,1586,OUT045
NCF31,2414,OUT035
FDJ08,4701,OUT027
NCC07,1859,OUT017
NCD19,1504,OUT027
FDL46,1575,OUT049
FDM20,3942,OUT045
NCI06,622,OUT010
DRM11,3852,OUT035
NCH07,2539,OUT018
FDS23,1802,OUT013
FDO49,570,OUT018
FDS35,874,OUT049
DRK39,1520,OUT045
DRI39,848,OUT049
FDV04,2476,OUT017
NCN14,2814,OUT035
FDH08,4100,OUT013
FDS20,2631,OUT046
FDV40,1547,OUT049
FDZ48,175,OUT010
FDS24,2616,OUT027
FDK44,2743,OUT049
FDS48,2607,OUT045
FDK26,877,OUT010
FDD23,3545,OUT045
NCH54,2870,OUT017
NCP14,418,OUT010
FDM60,-69,OUT010
FDV24,2260,OUT017
FDH08,3474,OUT018
FDS12,2447,OUT027
FDR39,4526,OUT027
FDP12,1485,OUT027
DRF60,5923,OUT027
FDC09,1746,OUT035
FDF50,3192,OUT018
FDG28,4156,OUT035
NCE19,922,OUT017
NCM53,440,OUT010
NCN18,1943,OUT049
FDF32,2700,OUT035
FDF11,3186,OUT013
DRI59,4010,OUT049
NCG54,3055,OUT035
FDM44,1727,OUT046
FDT57,2744,OUT018
FDV24,2384,OUT046
FDI50,621,OUT019
FDS09,818,OUT035
NCC31,4524,OUT027
FDQ07,559,OUT019
FDC22,2790,OUT017
FDZ56,2626,OUT046
FDZ40,-163,OUT019
FDS46,2852,OUT027
DRD24,2710,OUT045
FDV45,2914,OUT017
FDL26,2615,OUT045
FDA56,1506,OUT018
FDN27,1083,OUT046
FDM20,4040,OUT049
FDO16,2256,OUT017
FDL03,2660,OUT035
FDE58,1605,OUT046
FDI02,2731,OUT027
NCC55,-77,OUT019
FDR03,3278,OUT018
FDB14,1899,OUT017
FDR45,4510,OUT013
NCN07,1701,OUT017
FDM51,286,OUT019
FDT52,6009,OUT027
FDL26,2529,OUT046
NCZ42,3612,OUT046
DRI47,456,OUT019
FDW40,2787,OUT013
FDN34,3022,OUT046
FDS01,2830,OUT035
NCG55,1686,OUT045
FDC11,1743,OUT035
FDX35,2578,OUT018
NCB06,2677,OUT046
FDR09,631,OUT019
FDC53,1578,OUT017
FDY45,4166,OUT013
FDA22,670,OUT010
FDE02,1718,OUT035
FDW21,1866,OUT045
FDV34,1583,OUT046
FDS59,1844,OUT049
NCW17,1815,OUT017
NCK54,1784,OUT046
FDG17,658,OUT019
FDG35,4371,OUT017
FDD08,68,OUT010
NCO07,3999,OUT017
FDJ10,4,OUT010
FDW36,1523,OUT017
FDW21,384,OUT010
FDY19,1913,OUT017
DRE03,653,OUT013
NCC55,1009,OUT049
FDH52,-167,OUT010
FDO09,4235,OUT017
FDU43,3903,OUT045
FDX09,428,OUT010
FDH40,202,OUT019
FDW58,1306,OUT017
FDC47,4189,OUT017
NCR41,2051,OUT035
DRG49,4402,OUT035
FDC52,4522,OUT027
FDY13,1712,OUT046
FDY35,772,OUT013
FDI35,3846,OUT017
NCU18,3214,OUT049
FDY33,2451,OUT018
FDC15,4488,OUT027
FDU01,3029,OUT049
NCU42,2735,OUT046
NCV29,2058,OUT018
NCY30,3075,OUT017
FDQ46,1906,OUT049
FDG58,4565,OUT027
FDK33,4071,OUT017
NCD07,1718,OUT045
NCX29,4338,OUT027
NCT42,2261,OUT013
DRN59,963,OUT035
FDI44,1761,OUT035
FDA45,2077,OUT049
FDP31,414,OUT045
FDY01,1450,OUT046
FDT09,1894,OUT018
DRH03,2737,OUT027
FDA36,2398,OUT018
NCF31,2360,OUT017
FDG14,2815,OUT049
FDG28,6009,OUT027
FDU14,3827,OUT049
FDY47,268,OUT019
FDI56,1560,OUT049
DRD01,842,OUT013
FDM22,857,OUT046
FDH33,862,OUT013
DRZ24,2007,OUT013
NCQ38,1521,OUT046
FDO16,2672,OUT027
FDU07,4701,OUT027
NCB07,2579,OUT013
FDU48,1695,OUT045
NCM43,2593,OUT045
FDR31,327,OUT010
DRK49,516,OUT018
NCI30,420,OUT010
DRD60,2875,OUT017
NCG19,3342,OUT046
FDH12,1727,OUT035
FDM32,1989,OUT035
FDM27,2947,OUT035
NCU53,4338,OUT027
NCQ18,1839,OUT046
FDS10,2451,OUT013
FDB33,4701,OUT027
FDI12,1508,OUT013
NCW42,3592,OUT013
NCC06,1678,OUT018
FDW02,2509,OUT017
NCD43,1836,OUT017
FDM57,1168,OUT018
FDA58,3870,OUT017
FDK56,2702,OUT046
FDP52,4013,OUT045
FDW20,1614,OUT018
FDS52,1581,OUT049
NCT29,1438,OUT018
NCL54,2844,OUT013
FDC05,2691,OUT045
FDF34,2924,OUT035
FDP03,2774,OUT027
FDD32,364,OUT010
FDZ10,1687,OUT045
FDZ40,726,OUT035
FDD51,593,OUT018
NCY30,451,OUT019
FDP58,3943,OUT017
FDV49,4128,OUT017
FDY24,-88,OUT019
NCO55,1720,OUT017
FDR13,1852,OUT017
FDS51,902,OUT017
FDP26,1469,OUT045
NCB54,2765,OUT027
FDF32,2755,OUT017
FDN31,2470,OUT018
DRM48,884,OUT017
FDN20,2759,OUT049
DRL01,3754,OUT046
FDV56,1695,OUT049
DRH13,2691,OUT027
FDA03,2739,OUT017
FDF47,5306,OUT027
FDX32,2871,OUT046
FDX57,1684,OUT049
NCA30,2711,OUT045
FDO49,735,OUT013
FDL04,204,OUT019
DRM48,842,OUT035
FDR16,4520,OUT013
NCC19,2594,OUT018
NCE42,2503,OUT045
FDY24,1092,OUT017
FDH19,2637,OUT049
FDJ46,2419,OUT013
FDN45,489,OUT010
FDY08,2744,OUT035
FDZ37,1898,OUT035
NCT30,764,OUT045
DRY23,498,OUT018
NCZ30,1700,OUT018
FDC44,1503,OUT018
FDB45,1767,OUT035
FDY04,2652,OUT013
FDM27,2816,OUT046
FDZ43,4031,OUT017
FDT39,471,OUT019
NCC06,335,OUT019
FDL15,4526,OUT027
FDL57,4506,OUT017
FDU08,1877,OUT046
FDK40,4116,OUT017
FDQ12,629,OUT010
FDS48,2737,OUT017
FDP09,3799,OUT045
FDW21,1998,OUT049
FDY25,3093,OUT035
DRE13,1549,OUT017
FDV43,-123,OUT019
FDD22,1630,OUT045
FDM46,393,OUT019
NCO30,396,OUT010
FDM25,2818,OUT046
NCN41,1708,OUT049
FDU24,1759,OUT045
FDZ50,2813,OUT046
FDP45,3874,OUT013
NCM54,1810,OUT045
FDW10,469,OUT019
FDP20,1667,OUT017
FDK32,2660,OUT046
FDN52,1467,OUT049
FDM58,1655,OUT045
FDZ46,2853,OUT027
NCA18,1537,OUT018
FDD35,1673,OUT046
NCK31,967,OUT035
FDI40,2671,OUT027
FDT50,265,OUT019
NCT06,2691,OUT046
FDT31,3012,OUT035
FDT45,876,OUT049
FDT13,2794,OUT045
FDO50,1516,OUT045
NCU18,710,OUT010
NCR54,2883,OUT049
NCO18,2539,OUT018
FDU09,734,OUT045
FDT13,2505,OUT018
FDE09,1647,OUT046
NCK53,455,OUT019
FDG45,4655,OUT049
DRH15,817,OUT035
FDO21,653,OUT019
FDD14,4483,OUT027
FDC09,1587,OUT046
FDH45,1746,OUT027
FDV32,828,OUT046
FDG12,1789,OUT035
FDS32,2658,OUT013
NCL55,3412,OUT018
DRE01,4174,OUT035
DRE15,1723,OUT049
NCL42,3740,OUT045
FDP31,883,OUT013
FDN33,1359,OUT018
FDZ59,3146,OUT046
FDE45,595,OUT010
FDJ07,1649,OUT013
FDQ45,2478,OUT018
FDM33,5925,OUT027
FDO15,220,OUT010
FDM46,1369,OUT013
FDR03,3643,OUT045
FDY49,2302,OUT018
FDQ60,1795,OUT045
FDW10,2745,OUT049
FDO51,990,OUT049
FDJ40,1359,OUT018
FDS20,2477,OUT018
FDU45,1979,OUT013
FDV02,2874,OUT035
FDN09,3876,OUT046
NCM55,4401,OUT027
FDN23,2494,OUT018
FDY31,246,OUT010
FDW03,507,OUT010
FDD14,2790,OUT046
FDV23,1679,OUT017
DRI03,2487,OUT045
FDN13,1794,OUT035
FDF45,1746,OUT027
FDU46,1932,OUT035
FDB57,3790,OUT049
FDV12,1727,OUT049
FDQ58,2434,OUT013
NCA18,1801,OUT017
FDH52,739,OUT049
FDM24,2213,OUT018
NCP43,4401,OUT027
NCO18,451,OUT019
FDM32,1814,OUT017
NCL07,887,OUT017
FDK03,3968,OUT013
FDP59,1364,OUT017
FDQ24,3771,OUT049
FDQ16,1525,OUT018
FDU44,2900,OUT013
FDH28,-113,OUT010
FDV28,-140,OUT019
FDM22,815,OUT045
FDR56,2616,OUT046
FDV39,2942,OUT049
FDU37,260,OUT019
FDQ11,892,OUT010
FDX02,3650,OUT045
NCS42,1552,OUT018
FDY57,2852,OUT027
FDB21,3584,OUT049
FDE28,4094,OUT017
FDQ55,1767,OUT017
FDA48,3924,OUT049
FDZ19,2489,OUT045
NCC43,3336,OUT045
NCV18,1905,OUT046
NCA42,2413,OUT018
FDY45,4082,OUT046
NCC30,2637,OUT045
FDM57,1564,OUT013
FDL09,260,OUT010
FDB09,2951,OUT027
FDT44,1675,OUT035
NCT06,4524,OUT027
FDX26,2954,OUT049
FDK32,2781,OUT013
DRA12,2633,OUT046
FDO46,402,OUT010
FDE52,1675,OUT013
NCH42,3582,OUT045
FDV08,692,OUT035
FDB47,2808,OUT018
FDC28,119,OUT010
FDD22,1695,OUT046
FDS07,2951,OUT027
DRI13,3790,OUT045
FDG32,3275,OUT018
FDU14,3951,OUT017
FDD28,-163,OUT019
NCP41,1633,OUT017
FDS08,2127,OUT049
FDX47,2430,OUT045
FDC53,204,OUT019
FDQ19,3742,OUT035
FDL14,2759,OUT045
FDM33,631,OUT019
FDA51,1792,OUT045
FDZ27,438,OUT018
FDT04,628,OUT046
DRC13,1758,OUT049
FDR16,6009,OUT027
FDQ03,6068,OUT027
FDE38,2588,OUT035
DRH23,1445,OUT027
FDT11,365,OUT019
FDD09,2825,OUT035
FDR40,1462,OUT045
FDX07,2882,OUT017
FDR07,1127,OUT035
FDA51,1981,OUT017
FDT59,603,OUT019
FDF20,2905,OUT017
FDR13,1708,OUT045
FDY26,3562,OUT049
FDW04,1537,OUT017
FDK52,4106,OUT017
FDN60,2818,OUT049
FDM09,504,OUT019
FDP46,1790,OUT049
FDB50,261,OUT019
NCQ29,4020,OUT049
FDP16,5987,OUT027
FDX33,2478,OUT018
FDP07,377,OUT010
FDN22,3819,OUT046
FDF39,4095,OUT049
FDS21,887,OUT017
NCM42,1912,OUT013
FDK50,411,OUT019
DRF13,4490,OUT027
FDH35,2583,OUT018
FDP60,1273,OUT018
DRJ49,2691,OUT027
NCT42,451,OUT019
FDE38,2648,OUT049
FDI04,2833,OUT049
NCH54,2746,OUT045
FDT56,875,OUT049
DRD15,3364,OUT018
FDV58,2262,OUT013
FDP21,2692,OUT049
FDH05,3871,OUT013
FDR10,4531,OUT027
NCP06,2289,OUT045
FDF33,1583,OUT049
DRK37,3467,OUT013
DRH49,1509,OUT045
FDT58,2696,OUT013
FDD41,1316,OUT018
FDP40,1485,OUT018
FDM51,2774,OUT027
FDO45,351,OUT010
FDW33,171,OUT010
FDY24,1040,OUT045
FDB10,622,OUT010
FDM40,2676,OUT035
NCI06,2996,OUT017
FDW12,444,OUT019
FDX48,4509,OUT027
NCW05,2765,OUT027
FDX27,1475,OUT017
DRM37,2749,OUT045
FDA38,3195,OUT045
FDR36,962,OUT046
FDZ45,2835,OUT046
FDG05,2662,OUT017
FDK28,4757,OUT013
FDV47,1521,OUT045
FDN21,2485,OUT045
FDP20,2951,OUT027
FDI35,3702,OUT045
DRY23,653,OUT013
FDA56,1750,OUT017
FDB09,1667,OUT013
NCO26,2821,OUT027
FDQ49,2217,OUT018
FDI52,2672,OUT027
FDZ44,2951,OUT027
FDZ09,2618,OUT018
FDY03,1585,OUT049
NCG42,1888,OUT017
DRI13,5923,OUT027
FDQ32,1655,OUT013
FDW16,1556,OUT035
FDU27,580,OUT046
FDR28,447,OUT010
FDQ49,223,OUT010
FDS37,1682,OUT046
FDW26,3095,OUT018
FDX12,3583,OUT018
NCP06,2366,OUT013
FDW45,360,OUT010
NCN30,1864,OUT049
FDN24,773,OUT049
NCL41,1482,OUT027
FDR02,266,OUT019
FDD09,465,OUT010
FDS33,149,OUT010
FDU22,1657,OUT045
FDI53,2583,OUT013
DRH01,2819,OUT049
FDX32,3116,OUT013
NCP30,516,OUT018
FDB60,2670,OUT045
FDB14,1765,OUT049
NCP02,784,OUT035
FDJ10,1909,OUT017
FDG34,1766,OUT046
NCB18,1859,OUT017
FDM16,1821,OUT049
FDW25,1225,OUT018
FDB35,191,OUT010
DRN11,2327,OUT013
FDF41,636,OUT019
FDH16,1444,OUT045
NCQ50,3095,OUT018
DRH23,648,OUT018
DRJ37,2837,OUT013
DRJ24,4490,OUT027
FDY16,2885,OUT035
FDQ27,2264,OUT045
FDZ33,2568,OUT045
FDF29,1605,OUT045
FDA08,2701,OUT049
FDG31,827,OUT046
FDE34,469,OUT019
NCR30,2821,OUT027
FDV33,3944,OUT035
DRZ24,1775,OUT018
NCL54,2981,OUT035
FDR12,2849,OUT049
NCC54,3919,OUT046
DRN59,999,OUT013
FDX50,266,OUT019
FDV31,4701,OUT027
NCA29,4524,OUT027
FDW60,3241,OUT049
FDX08,2905,OUT017
DRD49,3958,OUT013
FDD33,3819,OUT046
FDW35,728,OUT013
FDJ36,1508,OUT017
FDV51,2670,OUT035
FDW36,1292,OUT046
FDH35,2576,OUT046
NCS30,2821,OUT027
FDN49,732,OUT017
FDL08,3628,OUT018
FDI09,4008,OUT013
FDP19,1410,OUT018
FDU21,-232,OUT010
NCP41,1490,OUT045
FDY10,1751,OUT013
FDP12,594,OUT018
NCN26,2024,OUT049
FDK44,2678,OUT013
FDC28,1564,OUT049
FDJ41,5987,OUT027
NCT29,1945,OUT035
NCH42,609,OUT019
FDU60,2748,OUT018
FDS02,2603,OUT045
FDC51,1442,OUT046
FDU03,2545,OUT013
FDX39,3888,OUT045
NCY05,-101,OUT010
NCL06,5777,OUT027
FDD32,2004,OUT035
NCN41,1559,OUT045
NCX53,2816,OUT049
FDU57,504,OUT019
FDQ23,1735,OUT046
FDQ52,4392,OUT045
FDC14,604,OUT045
FDY09,3147,OUT035
FDQ28,2690,OUT045
FDV25,5536,OUT046
FDJ07,1777,OUT035
DRB25,1665,OUT049
FDK52,636,OUT019
FDY52,1415,OUT027
FDB28,2955,OUT046
FDT36,771,OUT035
FDV25,4227,OUT017
NCN07,2737,OUT027
FDC57,2956,OUT017
FDQ03,3041,OUT018
FDU23,3088,OUT017
NCX41,4300,OUT035
NCD06,968,OUT035
FDW08,1667,OUT045
NCU29,2858,OUT017
NCE06,2252,OUT013
FDV52,207,OUT010
FDB02,2824,OUT017
NCR18,759,OUT045
FDK16,1583,OUT049
NCQ29,765,OUT010
FDZ01,260,OUT019
FDW27,2592,OUT035
FDD17,3655,OUT018
FDW39,2750,OUT013
DRH59,1730,OUT045
FDS52,1520,OUT013
FDU40,4427,OUT027
NCF54,2605,OUT013
FDH46,1501,OUT045
NCP14,2032,OUT049
FDH50,2946,OUT049
DRF15,200,OUT010
FDV27,2774,OUT027
NCJ06,1853,OUT049
FDN02,3377,OUT018
FDQ51,775,OUT049
FDQ07,4163,OUT017
FDS45,2135,OUT049
NCJ06,1737,OUT045
FDD36,1592,OUT035
FDY25,2914,OUT045
FDU52,2792,OUT046
DRK47,3987,OUT017
NCL30,1834,OUT017
FDN22,4086,OUT035
NCF30,2821,OUT027
FDK03,4096,OUT035
FDT45,900,OUT017
NCC54,5950,OUT027
FDP08,2803,OUT018
FDU44,2800,OUT046
DRG39,892,OUT035
FDU32,1707,OUT049
FDY27,2591,OUT049
NCP54,1785,OUT013
NCZ41,1867,OUT049
DRL49,2801,OUT013
FDI05,1319,OUT018
FDY56,3995,OUT045
DRC13,1663,OUT013
NCV29,2529,OUT017
FDR24,1631,OUT049
FDZ34,3693,OUT018
FDP37,2392,OUT035
FDX08,4701,OUT027
FDS57,2519,OUT045
NCG18,2019,OUT049
FDK25,2825,OUT018
FDH53,1647,OUT049
DRI59,3476,OUT018
FDA52,2657,OUT046
FDT20,-31,OUT010
FDE36,444,OUT019
FDI24,3236,OUT017
FDB28,2595,OUT018
FDV11,2747,OUT017
FDP01,3453,OUT046
FDD34,4531,OUT027
FDJ50,1471,OUT027
FDZ44,1385,OUT013
DRO59,1708,OUT035
DRB48,765,OUT045
FDR21,2525,OUT018
NCE42,-489,OUT010
FDO23,1623,OUT046
NCE30,3001,OUT018
FDQ22,983,OUT035
FDY01,1384,OUT045
FDS08,2061,OUT017
FDG28,3405,OUT018
FDQ51,483,OUT018
FDB05,4517,OUT017
FDO56,1579,OUT049
FDE02,1409,OUT018
FDN45,3967,OUT017
FDS09,700,OUT013
NCA54,2375,OUT018
FDP09,598,OUT010
FDC53,1440,OUT045
NCM55,2968,OUT017
FDL09,2416,OUT018
FDA11,202,OUT019
FDA50,1521,OUT045
FDC23,3758,OUT017
FDE22,2788,OUT049
FDD23,3185,OUT046
NCA29,2992,OUT049
FDK38,2767,OUT046
DRC13,1598,OUT046
NCP43,2720,OUT049
FDX28,1627,OUT049
FDF08,1557,OUT049
FDZ33,2558,OUT046
FDD10,2620,OUT049
FDO58,2705,OUT017
FDI50,4178,OUT017
FDO58,2525,OUT045
FDX08,2852,OUT013
NCK17,-116,OUT010
FDF39,4168,OUT035
FDU45,440,OUT010
NCJ18,1576,OUT018
DRC27,603,OUT019
DRC25,1544,OUT035
FDU59,2457,OUT035
FDU28,2799,OUT035
NCP30,505,OUT046
FDB39,395,OUT018
FDE41,1602,OUT013
DRH11,-92,OUT010
FDA58,3631,OUT045
FDU50,1711,OUT046
FDM34,1693,OUT013
FDM44,2951,OUT027
FDR39,2935,OUT045
FDM25,2786,OUT045
FDQ49,2591,OUT049
DRH25,543,OUT018
FDM09,4565,OUT027
FDL44,398,OUT019
NCR42,267,OUT018
DRL59,830,OUT046
FDX43,2123,OUT013
DRK47,611,OUT010
FDU48,1530,OUT018
FDY12,732,OUT045
NCN43,1434,OUT018
NCM55,2582,OUT018
FDQ21,2853,OUT027
FDX13,4009,OUT035
NCK30,5777,OUT027
FDG20,2776,OUT049
DRG27,793,OUT017
FDY14,3809,OUT018
FDP59,1419,OUT035
FDU60,3089,OUT017
NCC18,451,OUT019
DRJ39,4107,OUT017
FDS07,1750,OUT049
FDM08,6495,OUT027
FDP51,1792,OUT045
FDU16,1647,OUT035
FDH12,1607,OUT013
DRE48,346,OUT010
NCL42,5777,OUT027
FDR21,2685,OUT045
NCW29,1934,OUT035
FDO11,4816,OUT013
NCM31,2685,OUT049
FDV35,592,OUT019
FDF58,925,OUT017
NCE43,3073,OUT049
FDA02,2933,OUT035
DRL37,-154,OUT010
FDR24,1350,OUT018
FDW59,1743,OUT049
FDS22,964,OUT049
FDW24,896,OUT017
FDU24,1897,OUT035
FDA21,4531,OUT027
FDH58,2853,OUT027
FDW36,1343,OUT018
FDI45,4701,OUT027
FDU01,2781,OUT018
FDF35,2615,OUT027
FDU43,559,OUT019
FDE24,375,OUT019
FDK50,2902,OUT049
FDG31,767,OUT045
FDC60,1925,OUT045
FDL36,1798,OUT013
FDP21,2526,OUT013
FDW16,1392,OUT045
FDX02,3889,OUT017
FDQ58,4531,OUT027
FDT51,1476,OUT046
FDD59,1586,OUT049
NCM42,1757,OUT018
FDA57,599,OUT018
FDZ48,1599,OUT035
FDE46,2485,OUT045
NCZ30,335,OUT019
FDB56,3016,OUT017
FDA25,2731,OUT027
FDD20,1714,OUT013
FDL25,1288,OUT013
NCO18,3039,OUT049
FDJ45,820,OUT017
FDR12,2848,OUT035
NCF19,5,OUT010
FDK25,3213,OUT046
NCR17,1840,OUT046
FDC52,2418,OUT046
NCA54,2761,OUT017
FDR45,1300,OUT010
NCM19,1708,OUT049
